DEBRIS,ONEWEB,PAYLOAD,ROCKET BODY,STARLINK,UNKNOWN,lower_bound,upper_bound,Bin_Center,Altitude_Bin
1,0,0,0,1,0,200,235,217.5,"[200,235]"
0,0,1,0,0,0,235,270,252.5,"(235,270]"
0,0,3,4,0,1,270,305,287.5,"(270,305]"
5,0,4,1,6,0,305,340,322.5,"(305,340]"
7,0,15,4,53,1,340,375,357.5,"(340,375]"
6,0,29,9,12,3,375,410,392.5,"(375,410]"
10,0,76,11,13,4,410,445,427.5,"(410,445]"
13,0,102,26,31,22,445,480,462.5,"(445,480]"
7,0,318,25,45,69,480,515,497.5,"(480,515]"
7,0,179,39,2868,83,515,550,532.5,"(515,550]"
20,1,110,28,238,13,550,585,567.5,"(550,585]"
22,28,146,62,0,14,585,620,602.5,"(585,620]"
25,1,135,36,0,5,620,655,637.5,"(620,655]"
23,7,66,18,0,1,655,690,672.5,"(655,690]"
20,0,104,22,0,1,690,725,707.5,"(690,725]"
35,0,70,34,0,2,725,760,742.5,"(725,760]"
42,0,243,64,0,2,760,795,777.5,"(760,795]"
36,1,84,41,0,1,795,830,812.5,"(795,830]"
42,13,77,48,0,0,830,865,847.5,"(830,865]"
67,12,32,32,0,2,865,900,882.5,"(865,900]"
39,0,59,15,0,1,900,935,917.5,"(900,935]"
44,22,64,45,0,0,935,970,952.5,"(935,970]"
48,7,172,153,0,0,970,1000,985,"(970,1e+03]"
20,0,17,14,0,0,1000,1040,1020,"(1e+03,1.04e+03]"
23,0,25,16,0,0,1040,1080,1060,"(1.04e+03,1.08e+03]"
27,4,53,16,0,4,1080,1110,1095,"(1.08e+03,1.11e+03]"
21,10,10,7,0,0,1110,1140,1125,"(1.11e+03,1.14e+03]"
13,0,6,10,0,1,1140,1180,1160,"(1.14e+03,1.18e+03]"
11,294,23,15,0,0,1180,1220,1200,"(1.18e+03,1.22e+03]"
8,91,7,4,0,0,1220,1250,1235,"(1.22e+03,1.25e+03]"
8,0,3,2,0,0,1250,1280,1265,"(1.25e+03,1.28e+03]"
5,0,7,3,0,0,1280,1320,1300,"(1.28e+03,1.32e+03]"
7,0,10,17,0,0,1320,1360,1340,"(1.32e+03,1.36e+03]"
9,0,12,7,0,0,1360,1390,1375,"(1.36e+03,1.39e+03]"
17,0,193,3,0,0,1390,1420,1405,"(1.39e+03,1.42e+03]"
14,0,176,32,0,0,1420,1460,1440,"(1.42e+03,1.46e+03]"
29,0,202,9,0,0,1460,1500,1480,"(1.46e+03,1.5e+03]"
29,0,57,17,0,0,1500,1530,1515,"(1.5e+03,1.53e+03]"
39,0,14,10,0,0,1530,1560,1545,"(1.53e+03,1.56e+03]"
29,0,12,42,0,0,1560,1600,1580,"(1.56e+03,1.6e+03]"
28,0,8,2,0,0,1600,1640,1620,"(1.6e+03,1.64e+03]"
9,0,11,1,0,0,1640,1670,1655,"(1.64e+03,1.67e+03]"
7,0,7,4,0,0,1670,1700,1685,"(1.67e+03,1.7e+03]"
5,0,3,2,0,0,1700,1740,1720,"(1.7e+03,1.74e+03]"
4,0,4,1,0,0,1740,1780,1760,"(1.74e+03,1.78e+03]"
7,0,2,2,0,0,1780,1810,1795,"(1.78e+03,1.81e+03]"
4,0,1,0,0,0,1810,1840,1825,"(1.81e+03,1.84e+03]"
5,0,3,1,0,0,1840,1880,1860,"(1.84e+03,1.88e+03]"
6,0,3,0,0,0,1880,1920,1900,"(1.88e+03,1.92e+03]"
3,0,1,2,0,0,1920,1950,1935,"(1.92e+03,1.95e+03]"
1,0,2,0,0,0,1950,1980,1965,"(1.95e+03,1.98e+03]"
7,0,5,1,0,0,1980,2020,2000,"(1.98e+03,2.02e+03]"
